462, 112, 0.000795, 7.011208, 12
216, 79, 0.000373, 7.362398, 15
269, 69, 0.000243, 6.550321, 13
286, 87, 0.000494, 7.024096, 17
16, 16, 0.000039, 5.500000, 10
257, 48, 0.000449, 6.486547, 12
206, 48, 0.000187, 6.559659, 14
168, 49, 0.000153, 7.140845, 11
45, 19, 0.000062, 5.865854, 7
174, 69, 0.000202, 7.925424, 13
45, 31, 0.000062, 7.869048, 15
380, 101, 0.000447, 7.139605, 11
104, 47, 0.000122, 5.949438, 13
377, 102, 0.000671, 6.630534, 14
89, 41, 0.000113, 6.019231, 13
376, 102, 0.000445, 6.582317, 10
110, 50, 0.000131, 6.278947, 10
112, 59, 0.000131, 6.725389, 19
137, 28, 0.000201, 7.232068, 18
152, 66, 0.000174, 7.175373, 16
399, 98, 0.000706, 6.658993, 14
195, 48, 0.000228, 6.654655, 10
251, 71, 0.000288, 7.004684, 15
181, 60, 0.000232, 7.384365, 14
289, 87, 0.000333, 6.594862, 13
290, 81, 0.000331, 6.778443, 15
146, 67, 0.000259, 7.079848, 15
17, 15, 0.000029, 5.382353, 7
143, 57, 0.000166, 7.003937, 13
433, 108, 0.000505, 6.948276, 16
237, 68, 0.000273, 6.875312, 14
220, 62, 0.000201, 6.600000, 12
237, 80, 0.000214, 6.805353, 16
318, 93, 0.000281, 6.873857, 13
396, 118, 0.000695, 6.877729, 14
66, 53, 0.000082, 9.262712, 17
252, 64, 0.000439, 6.461187, 14
312, 94, 0.000277, 6.813187, 14
191, 70, 0.000339, 6.892966, 12
165, 75, 0.000143, 7.765125, 13
126, 28, 0.000223, 6.087156, 8
88, 45, 0.000110, 7.450980, 19
374, 111, 0.000347, 6.607692, 11
242, 80, 0.000274, 7.108312, 16
422, 94, 0.000743, 6.864754, 14
82, 46, 0.000108, 8.899329, 20
19, 18, 0.000023, 7.472222, 14
158, 47, 0.000189, 7.054945, 15
315, 95, 0.000280, 6.730909, 11
282, 88, 0.000323, 7.668058, 16
308, 62, 0.000347, 7.383302, 12
111, 51, 0.000102, 7.172775, 15
201, 51, 0.000356, 6.395349, 11
319, 100, 0.000363, 7.420765, 16
335, 90, 0.000576, 6.820380, 12
45, 36, 0.000061, 7.325301, 16
204, 62, 0.000240, 6.885387, 8
117, 58, 0.000106, 8.405797, 12
100, 57, 0.000119, 7.325714, 17
91, 48, 0.000112, 6.398734, 16
233, 77, 0.000268, 7.143229, 19
133, 27, 0.000296, 6.519481, 13
459, 89, 0.000552, 7.015152, 15
196, 74, 0.000230, 7.437500, 18
238, 96, 0.000273, 8.401478, 14
20, 20, 0.000031, 7.916667, 16
174, 57, 0.000202, 7.500000, 17
259, 83, 0.000299, 7.169643, 15
82, 43, 0.000151, 7.143836, 19
165, 56, 0.000144, 6.457447, 10
389, 114, 0.000357, 6.767305, 16
138, 44, 0.000163, 6.877551, 16
161, 73, 0.000187, 7.614035, 15
183, 64, 0.000211, 6.888179, 18
269, 73, 0.000470, 6.425214, 11
191, 62, 0.000229, 7.240854, 20
163, 46, 0.000184, 6.482143, 14
286, 74, 0.000326, 6.939394, 16
241, 80, 0.000425, 6.561905, 10
325, 91, 0.000367, 6.887299, 17
120, 41, 0.000147, 6.320930, 11
293, 77, 0.000337, 7.184676, 21
71, 39, 0.000088, 5.728000, 11
18, 17, 0.000043, 7.257143, 13
119, 41, 0.000216, 6.206573, 7
159, 67, 0.000179, 7.729630, 17
89, 41, 0.000165, 6.348387, 11
359, 121, 0.000428, 7.169059, 17
240, 44, 0.000279, 6.254808, 8
399, 106, 0.000468, 6.652798, 12
439, 117, 0.000511, 7.127130, 21
151, 72, 0.000178, 7.351852, 18
189, 58, 0.000225, 6.746914, 12
70, 26, 0.000130, 9.170732, 14
146, 40, 0.000249, 6.869048, 12
146, 37, 0.000169, 6.706827, 17
131, 38, 0.000118, 7.247788, 8
71, 31, 0.000088, 5.696000, 9
211, 64, 0.000248, 6.916667, 14
181, 83, 0.000220, 7.278638, 13